Date,Open,High,Low,Close,Adj Close,Volume
6/3/2012,1363.63,1363.63,1340.03,1343.36,1343.36,4191060000
5/3/2012,1369.59,1369.59,1359.13,1364.33,1364.33,3429480000
2/3/2012,1374.09,1374.53,1366.42,1369.63,1369.63,3283490000
1/3/2012,1365.9,1376.17,1365.9,1374.09,1374.09,3919240000
29-02-2012,1372.2,1378.04,1363.81,1365.68,1365.68,4482370000
28-02-2012,1367.56,1373.09,1365.97,1372.18,1372.18,3579120000
27-02-2012,1365.2,1371.94,1354.92,1367.59,1367.59,3648890000
24-02-2012,1363.46,1368.92,1363.46,1365.74,1365.74,3505360000
23-02-2012,1357.53,1364.24,1352.28,1363.46,1363.46,3786450000
22-02-2012,1362.11,1362.7,1355.53,1357.66,1357.66,3633710000
21-02-2012,1361.22,1367.76,1358.11,1362.21,1362.21,3795200000
17-02-2012,1358.06,1363.4,1357.24,1361.23,1361.23,3717640000
16-02-2012,1342.61,1359.02,1341.22,1358.04,1358.04,4108880000
15-02-2012,1350.52,1355.87,1340.8,1343.23,1343.23,4080340000
14-02-2012,1351.3,1351.3,1340.83,1350.5,1350.5,3889520000
13-02-2012,1343.06,1353.35,1343.06,1351.77,1351.77,3618040000
10/2/2012,1351.21,1351.21,1337.35,1342.64,1342.64,3877580000
9/2/2012,1349.97,1354.32,1344.63,1351.95,1351.95,4209890000
8/2/2012,1347.04,1351,1341.95,1349.96,1349.96,4096730000
7/2/2012,1344.33,1349.24,1335.92,1347.05,1347.05,3742460000
6/2/2012,1344.32,1344.36,1337.52,1344.33,1344.33,3379700000
3/2/2012,1326.21,1345.34,1326.21,1344.9,1344.9,4608550000
2/2/2012,1324.24,1329.19,1321.57,1325.54,1325.54,4120920000
1/2/2012,1312.45,1330.52,1312.45,1324.09,1324.09,4504360000
31-01-2012,1313.53,1321.41,1306.69,1312.41,1312.41,4235550000
30-01-2012,1316.16,1316.16,1300.49,1313.01,1313.01,3659010000
27-01-2012,1318.25,1320.06,1311.72,1316.33,1316.33,4007380000
26-01-2012,1326.28,1333.47,1313.6,1318.43,1318.43,4522070000
25-01-2012,1314.4,1328.3,1307.65,1326.06,1326.06,4410910000
24-01-2012,1315.96,1315.96,1306.06,1314.65,1314.65,3693560000
23-01-2012,1315.29,1322.28,1309.89,1316,1316,3770910000
20-01-2012,1314.49,1315.38,1309.17,1315.38,1315.38,3912620000
19-01-2012,1308.07,1315.49,1308.07,1314.5,1314.5,4465890000
18-01-2012,1293.65,1308.11,1290.99,1308.04,1308.04,4096160000
17-01-2012,1290.22,1303,1290.22,1293.67,1293.67,4010490000
13-01-2012,1294.82,1294.82,1277.58,1289.09,1289.09,3692370000
12/1/2012,1292.48,1296.82,1285.77,1295.5,1295.5,4019890000
11/1/2012,1292.02,1293.8,1285.41,1292.48,1292.48,3968120000
10/1/2012,1280.77,1296.46,1280.77,1292.08,1292.08,4221960000
9/1/2012,1277.83,1281.99,1274.55,1280.7,1280.7,3371600000
6/1/2012,1280.93,1281.84,1273.34,1277.81,1277.81,3656830000
5/1/2012,1277.3,1283.05,1265.26,1281.06,1281.06,4315950000
4/1/2012,1277.03,1278.73,1268.1,1277.3,1277.3,3592580000
3/1/2012,1258.86,1284.62,1258.86,1277.06,1277.06,3943710000
30-12-2011,1262.82,1264.12,1257.46,1257.6,1257.6,2271850000
29-12-2011,1249.75,1263.54,1249.75,1263.02,1263.02,2278130000
28-12-2011,1265.38,1265.85,1248.64,1249.64,1249.64,2349980000
27-12-2011,1265.02,1269.37,1262.3,1265.43,1265.43,2130590000
23-12-2011,1254,1265.42,1254,1265.33,1265.33,2233830000
22-12-2011,1243.72,1255.22,1243.72,1254,1254,3492250000
21-12-2011,1241.25,1245.09,1229.51,1243.72,1243.72,2959020000
20-12-2011,1205.72,1242.82,1205.72,1241.3,1241.3,4055590000
19-12-2011,1219.74,1224.57,1202.37,1205.35,1205.35,3659820000
16-12-2011,1216.09,1231.04,1215.2,1219.66,1219.66,5345800000
15-12-2011,1212.12,1225.6,1212.12,1215.75,1215.75,3810340000
14-12-2011,1225.73,1225.73,1209.47,1211.82,1211.82,4298290000
13-12-2011,1236.83,1249.86,1219.43,1225.73,1225.73,4121570000
12/12/2011,1255.05,1255.05,1227.25,1236.47,1236.47,3600570000
9/12/2011,1234.48,1258.25,1234.48,1255.19,1255.19,3830610000
8/12/2011,1260.87,1260.87,1231.47,1234.35,1234.35,4298370000
7/12/2011,1258.14,1267.06,1244.8,1261.01,1261.01,4160540000
6/12/2011,1257.19,1266.03,1253.03,1258.47,1258.47,3734230000
5/12/2011,1244.33,1266.73,1244.33,1257.08,1257.08,4148060000
2/12/2011,1246.03,1260.08,1243.35,1244.28,1244.28,4144310000
1/12/2011,1246.91,1251.09,1239.73,1244.58,1244.58,3818680000
